K=[abcd], qubit, qumode, single_gate, two_gate, total_gate, depth, latency
[+1-0-2-0], 10, 2, 190, 38, 228, 98, 706
[+1-0-0-2], 10, 2, 190, 38, 228, 98, 706
[-0-2+1-0], 10, 2, 190, 38, 228, 98, 706
[-0-2-0+1], 10, 2, 190, 38, 228, 98, 706
[-0+1-2-0], 10, 2, 190, 38, 228, 98, 706
[-0+1-0-2], 10, 2, 190, 38, 228, 98, 706
[-0-0-2+1], 10, 2, 190, 38, 228, 98, 706
[-0-0+1-2], 10, 2, 190, 38, 228, 98, 706
[+2-1-0-0], 10, 2, 190, 38, 228, 98, 706
[+2-0-1-0], 10, 2, 190, 38, 228, 98, 706
[+2-0-0-1], 10, 2, 190, 38, 228, 98, 706
[-1+2-0-0], 10, 2, 190, 38, 228, 98, 706
[-1-0+2-0], 10, 2, 190, 38, 228, 98, 706
[-1-0-0+2], 10, 2, 190, 38, 228, 98, 706
[-0+2-1-0], 10, 2, 190, 38, 228, 98, 706
[-0+2-0-1], 10, 2, 190, 38, 228, 98, 706
[-0-1+2-0], 10, 2, 190, 38, 228, 98, 706
[-0-1-0+2], 10, 2, 190, 38, 228, 98, 706
[-0-0+2-1], 10, 2, 190, 38, 228, 98, 706
[-0-0-1+2], 10, 2, 190, 38, 228, 98, 706

[-3-0-0-0], 10, 1, 192, 36, 228, 111, 795
[-0-3-0-0], 10, 1, 192, 36, 228, 111, 795
[-0-0-3-0], 10, 1, 192, 36, 228, 111, 795
[-0-0-0-3], 10, 1, 192, 36, 228, 111, 795
[+3-0-0-0], 10, 1, 192, 36, 228, 111, 795
[-0+3-0-0], 10, 1, 192, 36, 228, 111, 795
[-0-0+3-0], 10, 1, 192, 36, 228, 111, 795
[-0-0-0+3], 10, 1, 192, 36, 228, 111, 795

[-1-1-1-1], 42, 4, 800, 148, 948, 226, 1442
[+1+1+1+1], 42, 4, 800, 148, 948, 226, 1442

[-1-1-1+1], 42, 4, 798, 150, 948, 226, 1442
[-1-1+1-1], 42, 4, 798, 150, 948, 226, 1442
[-1+1-1-1], 42, 4, 798, 150, 948, 226, 1442
[+1-1-1-1], 42, 4, 798, 150, 948, 226, 1442
[-1+1+1+1], 42, 4, 798, 150, 948, 226, 1442
[+1-1+1+1], 42, 4, 798, 150, 948, 226, 1442
[+1+1-1+1], 42, 4, 798, 150, 948, 226, 1442
[+1+1+1-1], 42, 4, 798, 150, 948, 226, 1442

[-1-1+1+1], 42, 4, 790, 158, 948, 226, 1442
[-1+1-1+1], 42, 4, 790, 158, 948, 226, 1442
[-1+1+1-1], 42, 4, 790, 158, 948, 226, 1442
[+1-1-1+1], 42, 4, 790, 158, 948, 226, 1442
[+1-1+1-1], 42, 4, 790, 158, 948, 226, 1442
[+1+1-1-1], 42, 4, 790, 158, 948, 226, 1442

[-2-1-1-0], 42, 3, 800, 148, 948, 386, 2818
[-2-1-0-1], 42, 3, 800, 148, 948, 386, 2818
[-2-0-1-1], 42, 3, 800, 148, 948, 386, 2818
[-1-2-1-0], 42, 3, 800, 148, 948, 386, 2818
[-1-2-0-1], 42, 3, 800, 148, 948, 386, 2818
[-1-1-2-0], 42, 3, 800, 148, 948, 386, 2818
[-1-1-0-2], 42, 3, 800, 148, 948, 386, 2818
[-1-0-2-1], 42, 3, 800, 148, 948, 386, 2818
[-1-0-1-2], 42, 3, 800, 148, 948, 386, 2818
[-0-2-1-1], 42, 3, 800, 148, 948, 386, 2818
[-0-1-2-1], 42, 3, 800, 148, 948, 386, 2818
[-0-1-1-2], 42, 3, 800, 148, 948, 386, 2818
[+2+1+1-0], 42, 3, 800, 148, 948, 386, 2818
[+2+1-0+1], 42, 3, 800, 148, 948, 386, 2818
[+2-0+1+1], 42, 3, 800, 148, 948, 386, 2818
[+1+2+1-0], 42, 3, 800, 148, 948, 386, 2818
[+1+2-0+1], 42, 3, 800, 148, 948, 386, 2818
[+1+1+2-0], 42, 3, 800, 148, 948, 386, 2818
[+1+1-0+2], 42, 3, 800, 148, 948, 386, 2818
[+1-0+2+1], 42, 3, 800, 148, 948, 386, 2818
[+1-0+1+2], 42, 3, 800, 148, 948, 386, 2818
[-0+2+1+1], 42, 3, 800, 148, 948, 386, 2818
[-0+1+2+1], 42, 3, 800, 148, 948, 386, 2818
[-0+1+1+2], 42, 3, 800, 148, 948, 386, 2818

[-2-1+1-0], 42, 3, 798, 150, 948, 386, 2818
[-2-1-0+1], 42, 3, 798, 150, 948, 386, 2818
[-2+1-1-0], 42, 3, 798, 150, 948, 386, 2818
[-2+1-0-1], 42, 3, 798, 150, 948, 386, 2818
[-2-0-1+1], 42, 3, 798, 150, 948, 386, 2818
[-2-0+1-1], 42, 3, 798, 150, 948, 386, 2818
[-1-2+1-0], 42, 3, 798, 150, 948, 386, 2818
[-1-2-0+1], 42, 3, 798, 150, 948, 386, 2818
[-1+1-2-0], 42, 3, 798, 150, 948, 386, 2818
[-1+1-0-2], 42, 3, 798, 150, 948, 386, 2818
[-1-0-2+1], 42, 3, 798, 150, 948, 386, 2818
[-1-0+1-2], 42, 3, 798, 150, 948, 386, 2818
[+1-2-1-0], 42, 3, 798, 150, 948, 386, 2818
[+1-2-0-1], 42, 3, 798, 150, 948, 386, 2818
[+1-1-2-0], 42, 3, 798, 150, 948, 386, 2818
[+1-1-0-2], 42, 3, 798, 150, 948, 386, 2818
[+1-0-2-1], 42, 3, 798, 150, 948, 386, 2818
[+1-0-1-2], 42, 3, 798, 150, 948, 386, 2818
[-0-2-1+1], 42, 3, 798, 150, 948, 386, 2818
[-0-2+1-1], 42, 3, 798, 150, 948, 386, 2818
[-0-1-2+1], 42, 3, 798, 150, 948, 386, 2818
[-0-1+1-2], 42, 3, 798, 150, 948, 386, 2818
[-0+1-2-1], 42, 3, 798, 150, 948, 386, 2818
[-0+1-1-2], 42, 3, 798, 150, 948, 386, 2818
[+2+1-1-0], 42, 3, 798, 150, 948, 386, 2818
[+2+1-0-1], 42, 3, 798, 150, 948, 386, 2818
[+2-1+1-0], 42, 3, 798, 150, 948, 386, 2818
[+2-1-0+1], 42, 3, 798, 150, 948, 386, 2818
[+2-0+1-1], 42, 3, 798, 150, 948, 386, 2818
[+2-0-1+1], 42, 3, 798, 150, 948, 386, 2818
[+1+2-1-0], 42, 3, 798, 150, 948, 386, 2818
[+1+2-0-1], 42, 3, 798, 150, 948, 386, 2818
[+1-1+2-0], 42, 3, 798, 150, 948, 386, 2818
[+1-1-0+2], 42, 3, 798, 150, 948, 386, 2818
[+1-0+2-1], 42, 3, 798, 150, 948, 386, 2818
[+1-0-1+2], 42, 3, 798, 150, 948, 386, 2818
[-1+2+1-0], 42, 3, 798, 150, 948, 386, 2818
[-1+2-0+1], 42, 3, 798, 150, 948, 386, 2818
[-1+1+2-0], 42, 3, 798, 150, 948, 386, 2818
[-1+1-0+2], 42, 3, 798, 150, 948, 386, 2818
[-1-0+2+1], 42, 3, 798, 150, 948, 386, 2818
[-1-0+1+2], 42, 3, 798, 150, 948, 386, 2818
[-0+2+1-1], 42, 3, 798, 150, 948, 386, 2818
[-0+2-1+1], 42, 3, 798, 150, 948, 386, 2818
[-0+1+2-1], 42, 3, 798, 150, 948, 386, 2818
[-0+1-1+2], 42, 3, 798, 150, 948, 386, 2818
[-0-1+2+1], 42, 3, 798, 150, 948, 386, 2818
[-0-1+1+2], 42, 3, 798, 150, 948, 386, 2818

[-2+1+1-0], 42, 3, 790, 158, 948, 386, 2818
[-2+1-0+1], 42, 3, 790, 158, 948, 386, 2818
[-2-0+1+1], 42, 3, 790, 158, 948, 386, 2818
[+1-2+1-0], 42, 3, 790, 158, 948, 386, 2818
[+1-2-0+1], 42, 3, 790, 158, 948, 386, 2818
[+1+1-2-0], 42, 3, 790, 158, 948, 386, 2818
[+1+1-0-2], 42, 3, 790, 158, 948, 386, 2818
[+1-0-2+1], 42, 3, 790, 158, 948, 386, 2818
[+1-0+1-2], 42, 3, 790, 158, 948, 386, 2818
[-0-2+1+1], 42, 3, 790, 158, 948, 386, 2818
[-0+1-2+1], 42, 3, 790, 158, 948, 386, 2818
[-0+1+1-2], 42, 3, 790, 158, 948, 386, 2818
[+2-1-1-0], 42, 3, 790, 158, 948, 386, 2818
[+2-1-0-1], 42, 3, 790, 158, 948, 386, 2818
[+2-0-1-1], 42, 3, 790, 158, 948, 386, 2818
[-1+2-1-0], 42, 3, 790, 158, 948, 386, 2818
[-1+2-0-1], 42, 3, 790, 158, 948, 386, 2818
[-1-1+2-0], 42, 3, 790, 158, 948, 386, 2818
[-1-1-0+2], 42, 3, 790, 158, 948, 386, 2818
[-1-0+2-1], 42, 3, 790, 158, 948, 386, 2818
[-1-0-1+2], 42, 3, 790, 158, 948, 386, 2818
[-0+2-1-1], 42, 3, 790, 158, 948, 386, 2818
[-0-1+2-1], 42, 3, 790, 158, 948, 386, 2818
[-0-1-1+2], 42, 3, 790, 158, 948, 386, 2818

[-2-0-2-0], 42, 2, 800, 148, 948, 386, 2818
[-2-0-0-2], 42, 2, 800, 148, 948, 386, 2818
[-2-2-0-0], 42, 2, 800, 148, 948, 386, 2818
[-0-2-2-0], 42, 2, 800, 148, 948, 386, 2818
[-0-2-0-2], 42, 2, 800, 148, 948, 386, 2818
[-0-0-2-2], 42, 2, 800, 148, 948, 386, 2818
[+2+2-0-0], 42, 2, 800, 148, 948, 386, 2818
[+2-0+2-0], 42, 2, 800, 148, 948, 386, 2818
[+2-0-0+2], 42, 2, 800, 148, 948, 386, 2818
[-0+2+2-0], 42, 2, 800, 148, 948, 386, 2818
[-0+2-0+2], 42, 2, 800, 148, 948, 386, 2818
[-0-0+2+2], 42, 2, 800, 148, 948, 386, 2818

[-2-0+2-0], 42, 2, 790, 158, 948, 386, 2818
[-2-0-0+2], 42, 2, 790, 158, 948, 386, 2818
[-2+2-0-0], 42, 2, 790, 158, 948, 386, 2818
[-0-2+2-0], 42, 2, 790, 158, 948, 386, 2818
[-0-2-0+2], 42, 2, 790, 158, 948, 386, 2818
[-0+2-2-0], 42, 2, 790, 158, 948, 386, 2818
[-0+2-0-2], 42, 2, 790, 158, 948, 386, 2818
[-0-0-2+2], 42, 2, 790, 158, 948, 386, 2818
[-0-0+2-2], 42, 2, 790, 158, 948, 386, 2818
[+2-2-0-0], 42, 2, 790, 158, 948, 386, 2818
[+2-0-2-0], 42, 2, 790, 158, 948, 386, 2818
[+2-0-0-2], 42, 2, 790, 158, 948, 386, 2818

[-3-1-0-0], 42, 2, 800, 148, 948, 434, 3170
[-3-0-1-0], 42, 2, 800, 148, 948, 434, 3170
[-3-0-0-1], 42, 2, 800, 148, 948, 434, 3170
[-1-3-0-0], 42, 2, 800, 148, 948, 434, 3170
[-1-0-3-0], 42, 2, 800, 148, 948, 434, 3170
[-1-0-0-3], 42, 2, 800, 148, 948, 434, 3170
[-0-3-1-0], 42, 2, 800, 148, 948, 434, 3170
[-0-3-0-1], 42, 2, 800, 148, 948, 434, 3170
[-0-1-3-0], 42, 2, 800, 148, 948, 434, 3170
[-0-1-0-3], 42, 2, 800, 148, 948, 434, 3170
[-0-0-3-1], 42, 2, 800, 148, 948, 434, 3170
[-0-0-1-3], 42, 2, 800, 148, 948, 434, 3170
[+3+1-0-0], 42, 2, 800, 148, 948, 434, 3170
[+3-0+1-0], 42, 2, 800, 148, 948, 434, 3170
[+3-0-0+1], 42, 2, 800, 148, 948, 434, 3170
[+1+3-0-0], 42, 2, 800, 148, 948, 434, 3170
[+1-0+3-0], 42, 2, 800, 148, 948, 434, 3170
[+1-0-0+3], 42, 2, 800, 148, 948, 434, 3170
